    ar	ai
0.061742	0.066670
-0.039907	0.033711
-0.029910	-0.021651
0.028959	0.034496
0.003757	0.080898
-0.047564	0.019448
0.009748	0.040813
-0.008498	-0.032256
0.059413	0.023534
-0.026267	0.101499
-0.001931	0.063876
0.048946	0.025908
-0.022353	-0.021259
-0.013413	0.023718
-0.008521	0.154858
-0.017784	0.032582
0.045747	-0.046962
0.044629	0.006308
-0.014809	0.112104
-0.060832	-0.007793
0.096273	-0.048130
0.144687	0.061819
-0.135818	0.076156
-0.086593	-0.024057
-0.006222	0.028218
0.155091	0.073732
-0.025374	0.135649
-0.130186	-0.039846
-0.147045	0.151080
0.106367	0.180420
0.093572	0.450212
-0.290149	0.184871
0.038464	-0.053025
-0.053241	0.833656
0.157458	1.816790
    ar	ai
1.092280	0.000000
1.092200	-1.816790
1.092020	-0.833656
1.091900	0.053025
1.091910	-0.184871
1.091900	-0.450212
1.091840	-0.180420
1.091840	-0.151080
1.091840	0.039846
1.091790	-0.135649
1.091900	-0.073732
1.092020	-0.028218
1.092100	0.024057
1.091930	-0.076156
1.091840	-0.061819
1.091810	0.048130
1.092000	0.007793
1.092030	-0.112104
1.091880	-0.006308
1.091920	0.046962
1.091970	-0.032582
1.092090	-0.154858
1.092090	-0.023718
1.091890	0.021259
1.092130	-0.025908
1.091870	-0.063876
1.092010	-0.101499
1.092450	-0.023534
1.092030	0.032256
1.092040	-0.040813
1.092380	-0.019448
1.092300	-0.080898
1.092200	-0.034496
1.092270	0.021651
1.092510	-0.033711
1.092790	-0.066670
1.093000	-0.023005
1.093050	0.027243
1.093180	-0.016581
1.093190	-0.026574
1.093320	-0.012259
1.093490	-0.009943
1.093600	0.002130
1.093750	-0.018862
1.093870	-0.049922
1.093650	-0.000409
1.093860	-0.005977
1.094110	-0.014041
1.094080	-0.030533
1.094070	-0.028549
1.093900	-0.009736
1.093840	-0.019701
1.094360	-0.038221
1.094300	0.009667
1.093950	0.007522
1.094140	-0.040876
1.094130	0.004837
1.093840	-0.035890
1.094080	-0.028246
1.094110	0.017694
1.094420	-0.008893
1.094260	-0.035068
1.093990	-0.009221
1.094160	-0.004692
1.094130	-0.014827
1.094100	-0.017666
1.094050	-0.008526
1.094420	0.002316
1.094340	-0.005794
1.093990	-0.025954
1.093800	-0.042349
1.093650	0.013201
1.094130	-0.009697
1.093830	-0.027872
1.093570	-0.028535
1.094030	0.000202
1.094070	0.015094
1.093940	-0.040389
1.094160	-0.017293
1.094150	0.012459
1.094030	0.011832
1.093810	-0.027781
1.093430	-0.039749
1.093120	-0.011907
1.093270	-0.004520
1.093310	-0.025258
1.093780	-0.013167
1.092830	0.001891
1.094070	-0.005267
1.094070	-0.000364
1.093970	-0.007569
1.093730	-0.015833
1.093530	-0.011484
1.093530	0.008151
1.093290	-0.013900
1.093220	-0.030679
1.093210	-0.020348
1.093130	0.000415
1.093080	0.002545
1.093320	-0.019280
1.093330	-0.002375
1.093630	0.011171
1.093620	-0.016625
1.093860	-0.008720
1.093640	-0.016682
1.093590	0.006455
1.093460	-0.003785
1.093460	-0.019833
1.093470	-0.010343
1.093590	0.002564
1.093770	-0.014201
1.093800	-0.016448
1.093700	-0.002858
1.093630	-0.020121
1.093520	-0.001315
1.093640	-0.000791
1.093670	-0.007934
1.093530	-0.023437
1.093530	0.005598
1.093520	-0.001939
1.093590	-0.015108
1.093600	-0.008197
1.093620	-0.001296
1.093630	-0.002644
1.093600	-0.000748
1.093550	-0.016652
1.093660	-0.011247
1.093640	0.009779
1.093600	0.002793
1.093520	-0.020729
1.093520	-0.006559
1.093390	-0.006911
1.093330	0.020382
1.093350	-0.023913
1.093220	-0.013219
1.093110	-0.000857
1.093180	0.007742
1.093060	-0.015191
1.093130	-0.013205
1.093060	-0.000515
1.093150	-0.003067
1.093180	-0.002464
1.093150	-0.019195
1.093050	-0.010442
1.093060	0.004640
1.093130	-0.003288
1.093170	-0.004219
1.093190	-0.010562
1.093550	-0.007376
1.093910	0.004076
1.093960	-0.005294
1.093880	-0.008206
1.093530	0.001898
1.093500	-0.007325
1.093370	-0.007026
1.093210	-0.011233
1.093030	0.004006
1.092590	-0.000310
1.092720	0.002584
1.092690	-0.014692
1.093000	-0.000305
1.093540	-0.004635
1.093730	-0.001258
1.093650	-0.012469
1.093750	-0.004306
1.093830	0.015586
